Título,Autores,Link,Resumo
[LIVRO][B] Inteligência artificial,KF Lee - 2019 - books.google.com,https://books.google.com/books?hl=pt-BR&lr=&id=0zO7DwAAQBAJ&oi=fnd&pg=PT4&dq=intelig%C3%AAncia+artificial&ots=o8Pj9Hb1PA&sig=-kXPewv5gHAginxZgrrARVqB4fA,"Um dos criadores da Inteligência Artificial como a conhecemos hoje mostra como a revolução 
das máquinas nos tornará ainda mais humanos Kai-Fu Lee já foi presidente da Google …"
[PDF][PDF] Inteligência artificial,"PC Nascimento, T Yoneyama - Editora Blucher, 2000 - unicamp.br",https://www.unicamp.br/unicamp/unicamp_hoje/ju/jornalPDF/ju170_p04.pdf,"O que parece brincadeira de criança é, de fato, o exercício acadêmico da aplicação de 
sofisticados conceitos de inteligência artificial para a operação de robôs autônomos, executado …"
[LIVRO][B] O que é inteligência artificial,J Teixeira - 2019 - books.google.com,https://books.google.com/books?hl=pt-BR&lr=&id=oDSZDwAAQBAJ&oi=fnd&pg=PT5&dq=intelig%C3%AAncia+artificial&ots=5HhwHbOtR0&sig=PKTYgugr2MvRdUy_aH_-1iCZVlM,"… a Inteligência Artificial surpreendeu a todos. A nova ideia é que a IA será uma inteligência 
… a dar um primeiro passo para entendermos o que seja a Inteligência Artificial. A expressão “…"
[LIVRO][B] Desmistificando a inteligência artificial,D Kaufman - 2022 - books.google.com,https://books.google.com/books?hl=pt-BR&lr=&id=3LxtEAAAQBAJ&oi=fnd&pg=PT5&dq=intelig%C3%AAncia+artificial&ots=9Adia5EFGW&sig=RbNvRxwzNnBno5koMsw7M9oAAFs,"Este livro reúne artigos de Dora Kaufman sobre inteligência artificial publicados na revista 
Época Negócios, entre junho de 2019 e abril de 2022. Em linguagem acessível, Dora passa …"
[LIVRO][B] A inteligência artificial irá suplantar a inteligência humana?,D Kaufman - 2019 - books.google.com,https://books.google.com/books?hl=pt-BR&lr=&id=Fh-WDwAAQBAJ&oi=fnd&pg=PT5&dq=intelig%C3%AAncia+artificial&ots=owPNElyc86&sig=p-3E6mrfFaWkIlWeyRZuc_jcBUY,"… A inteligência artificial está transformando nossa relação com a tecnologia, e é a base 
da revolução digital em curso a partir da confluência de tecnologias do mundo digital (internet …"
Inteligência artificial e direito,"FH Peixoto, RZM SILVA - Curitiba: Alteridade, 2019 - core.ac.uk",https://core.ac.uk/download/pdf/226968494.pdf,"… INTELIGENCIA ARTIFICIAL E DIREITO … Inteligência Artificial Geral x Inteligência 
Artificial Específica x Superinteligência .......................................... 77 2.2.2.1 - Inteligência …"
[HTML][HTML] Inteligência artificial e medicina,"LC Lobo - Revista Brasileira de Educação Médica, 2017 - SciELO Brasil",https://www.scielo.br/j/rbem/a/f3kqKJjVQJxB4985fDMVb8b/,"… A Inteligência Artificial processa esses dados por meio de algoritmos, que tendem a se 
aperfeiçoar pelo seu próprio funcionamento (self learning) e a propor hipóteses diagnósticas …"
[PDF][PDF] Inteligência Artificial: conceitos e aplicações,"DS Gomes - Revista Olhar Científico, 2010 - academia.edu",https://www.academia.edu/download/51841234/49-148-1-PB.pdf,"… mente humana, o mesmo objetivo da inteligência artificial. A asserção de que as máquinas 
… da Inteligência Artificial Segue adiante um resumo da história da Inteligência Artificial que …"
[LIVRO][B] Do caos à inteligência artificial,G Pessis-Pasternak - 2001 - books.google.com,https://books.google.com/books?hl=pt-BR&lr=&id=GrWMiCteeHgC&oi=fnd&pg=PA11&dq=intelig%C3%AAncia+artificial&ots=4e2Fa1sCJg&sig=fb9dN5EA2kz_BWFVnqIKdYSjLJM,"… inteligência artificial. Observou-se nos últimos anos um verdadeiro brain storming científico 
e filosófico, que sacudiu profundamente as teorias do conhecimento e as visões do mundo. …"
Ética e inteligencia artificial,"AC Garcia - Computação Brasil, 2020 - sol.sbc.org.br",https://sol.sbc.org.br/journals/index.php/comp-br/article/view/1791,"… Neste artigo, vamos discutir o uso da Inteligência Artificial e os vieses sociais que podem 
estar contidos na enorme massa de dados utilizada pelos sistemas inteligentes e algoritmos …"
[LIVRO][B] A inteligência artificial é inteligente?,L Santaella - 2023 - books.google.com,https://books.google.com/books?hl=pt-BR&lr=&id=9HrxEAAAQBAJ&oi=fnd&pg=PT5&dq=intelig%C3%AAncia+artificial&ots=dV0w2g3-fe&sig=FF50UgCog0p7AXrCh1KFp6fEOy0,"… Portanto, segue-se aqui o que se entende por Inteligência Artificial (IA). Sem irmos muito … 
Começa com uma chamada telegráfica “A inteligência artificial potencializa computadores …"
[CITAÇÃO][C] Inteligência artificial,A Oliveira - 2019 - Fundação Francisco Manuel dos …,Link não disponível,
[PDF][PDF] Inteligência Artificial,"FG Cozman, GA Plonski, H Neri - 2021 - academia.edu",https://www.academia.edu/download/69708200/Livro_Inteligencia_Artificial.pdf,"Este livro surgiu a partir de um evento promovido na Universidade de São Paulo (USP) pelo 
Instituto de Estudos Avançados (IEA) e pela Pró-Reitoria de Pesquisa da USP, focado em …"
[PDF][PDF] A inteligência artificial,"LM Barbosa, LAF Portes - … Tecnologia Educacional [on line], Rio de …, 2023 - abt-br.org.br",http://abt-br.org.br/wp-content/uploads/2023/03/RTE_236.pdf#page=16,"… Esse é um grande ponto de virada da Inteligência Artificial-IA nos dias de hoje, para o 
mundo dos negócios, a inteligência artificial pode cortar caminhos e otimizar processos de …"
[LIVRO][B] A era da inteligência artificial,"H Kissinger, E Schmidt, D Hottenlocher - 2021 - books.google.com",https://books.google.com/books?hl=pt-BR&lr=&id=vURPEAAAQBAJ&oi=fnd&pg=PT5&dq=intelig%C3%AAncia+artificial&ots=d27frQ_Y23&sig=BGts7Ej5tGT1LCgyRBu4iXdMtAQ,"… da atualidade refletem sobre a Inteligência Artificial, as transformações que está a provocar 
na sociedade e o que isso significa para todos nós. Uma Inteligência Artificial (IA) aprendeu …"
[DOC][DOC] Inteligência artificial no limiar do século XXI,"JM Barreto - Florianópolis: PPP edições, 1999 - dca.fee.unicamp.br",ftp://ftp.dca.fee.unicamp.br/pub/docs/vonzuben/ia353_03/revisao/docs/tema4.doc,"… Informações Adicionais: Neste artigo, descreve-se o desenho de uma rede neural 
artificial para o reconhecimento de padrões. Aplicando os mapas autorganizáveis de …"
Direito e inteligência Artificial,"J FREITAS, TB FREITAS - Belo Horizonte: Fórum, 2020 - cdnv2.moovin.com.br",https://cdnv2.moovin.com.br/acasadolivrojuridico/imagens/files/manuais/19627_direito-e-inteligencia-artificial.pdf,"… inteligência artificial. Traçam a trajetória histórica da inovação disruptiva em tela e conceituam 
a inteligência artificial, … e preconizam um sistema artificial desenviesado e desenviesante. …"
Inteligência artificial na educação: Survey,"LA Tavares, MC Meira… - Brazilian Journal of …, 2020 - ojs.brazilianjournals.com.br",https://ojs.brazilianjournals.com.br/ojs/index.php/BRJD/article/view/13539,"… dos estudos da Inteligência Artificial aplicada à Educação. As … (2015) define a inteligência 
artificial como a representação … de ensino usando a inteligência artificial (IA) começaram por …"
